# i,scycle,rvalve,cvalve,ivalve,draws
780,48,-2000,-1500,1500,0
781,48,-2000,-1500,1500,0
782,48,-2000,-1500,1500,0
783,49,-2000,-1500,1500,0
784,49,-2000,-1500,1500,0
785,49,-2000,-1500,1500,6
786,49,-2000,-1500,1500,0
787,49,-2000,-1500,1500,0
788,49,-2000,-1500,1500,0
789,49,-2000,-1500,1500,0
790,49,-2000,-1500,1500,0
791,49,-2000,-1500,1500,0
792,49,-2000,-1500,1500,0
793,49,-2000,-1500,1500,0
794,49,-2000,-1500,1500,0
795,49,-2000,-1500,1500,0
796,49,-2000,-1500,1500,0
797,49,-2000,-1500,1500,0
798,49,-2000,-1500,1500,0
799,50,-2000,-1500,1500,0
800,50,-2000,-1500,1500,0
801,50,-2000,-1500,1500,32
802,50,-2000,-1500,1500,0
803,50,-2000,-1500,1500,0
804,50,-2000,-1500,1500,0
805,50,-2000,-1500,1500,0
806,50,-2000,-1500,1500,0
807,50,-2000,-1500,1500,0
808,50,-2000,-1500,1500,0
809,50,-2000,-1500,1500,0
810,50,-2000,-1500,1500,0
811,50,-2000,-1500,1500,0
812,50,-2000,-1500,1500,0
813,50,-2000,-1500,1500,0
814,50,-2000,-1500,1500,0
815,51,-2000,-1500,1500,0
816,51,-2000,-1500,1500,0
817,51,-2000,-1500,1500,6
818,51,-2000,-1500,1500,0
819,51,-2000,-1500,1500,0
820,51,-2000,-1500,1500,0
821,51,-2000,-1500,1500,0
822,51,-2000,-1500,1500,0
823,51,-2000,-1500,1500,0
824,51,-2000,-1500,1500,0
825,51,-2000,-1500,1500,0
826,51,-2000,-1500,1500,0
827,51,-2000,-1500,1500,3
828,51,-2000,-1500,1500,0
829,51,-2000,-1500,1500,0
830,51,-2000,-1500,1500,0
831,52,-2000,-1500,1500,0
832,52,-2000,-1500,1500,0
833,52,-2000,-1500,1500,6
834,52,-2000,-1500,1500,0
835,52,-2000,-1500,1500,0
836,52,-2000,-1500,1500,0
837,52,-2000,-1500,1500,0
838,52,-2000,-1500,1500,0
839,52,-2000,-1500,1500,0
840,52,-2000,-1500,1500,0
841,52,-2000,-1500,1500,0
842,52,-2000,-1500,1500,0
843,52,-2000,-1500,1500,0
844,52,-2000,-1500,1500,0
845,52,-2000,-1500,1500,0
846,52,-2000,-1500,1500,0
847,53,-2000,-1500,1500,0
848,53,-2000,-1500,1500,0
849,53,-2000,-1500,1500,6
850,53,-2000,-1500,1500,0
851,53,-2000,-1500,1500,0
852,53,-2000,-1500,1500,0
853,53,-2000,-1500,1500,0
854,53,-2000,-1500,1500,0
855,53,-2000,-1500,1500,0
856,53,-2000,-1500,1500,0
857,53,-2000,-1500,1500,0
858,53,-2000,-1500,1500,0
859,53,-2000,-1500,1500,0
860,53,-2000,-1500,1500,0
861,53,-2000,-1500,1500,0
862,53,-2000,-1500,1500,0
863,54,-2000,-1500,1500,0
864,54,-2000,-1500,1500,0
